year,round,country,votingCountry,points
1968,final,lu,nl,1
1968,final,lu,at,1
1968,final,lu,mc,1
1968,final,lu,fr,1
1968,final,lu,gb,1
1968,final,ch,yu,2
1968,final,mc,nl,2
1968,final,mc,lu,1
1968,final,mc,fi,3
1968,final,mc,gb,1
1968,final,mc,ie,1
1968,final,se,pt,1
1968,final,se,nl,1
1968,final,se,fi,1
1968,final,se,gb,2
1968,final,se,no,6
1968,final,se,ie,4
1968,final,fi,no,1
1968,final,fr,nl,3
1968,final,fr,be,6
1968,final,fr,at,2
1968,final,fr,lu,3
1968,final,fr,ch,3
1968,final,fr,se,1
1968,final,fr,it,2
1968,final,it,pt,1
1968,final,it,ch,2
1968,final,it,es,2
1968,final,it,yu,2
1968,final,gb,pt,1
1968,final,gb,nl,2
1968,final,gb,be,2
1968,final,gb,lu,1
1968,final,gb,ch,4
1968,final,gb,mc,5
1968,final,gb,se,3
1968,final,gb,fi,2
1968,final,gb,fr,4
1968,final,gb,it,1
1968,final,gb,ie,1
1968,final,gb,de,2
1968,final,no,lu,1
1968,final,no,es,1
1968,final,ie,pt,1
1968,final,ie,nl,1
1968,final,ie,be,1
1968,final,ie,at,4
1968,final,ie,lu,1
1968,final,ie,se,4
1968,final,ie,yu,6
1968,final,es,pt,4
1968,final,es,at,2
1968,final,es,lu,1
1968,final,es,mc,4
1968,final,es,fi,3
1968,final,es,fr,4
1968,final,es,it,3
1968,final,es,no,1
1968,final,es,ie,1
1968,final,es,de,6
1968,final,de,lu,1
1968,final,de,ch,1
1968,final,de,se,2
1968,final,de,gb,5
1968,final,de,es,2
1968,final,yu,pt,1
1968,final,yu,be,1
1968,final,yu,at,1
1968,final,yu,lu,1
1968,final,yu,ie,3
1968,final,yu,es,1
1969,final,yu,es,1
1969,final,yu,be,1
1969,final,yu,pt,3
1969,final,lu,yu,1
1969,final,lu,mc,3
1969,final,lu,nl,1
1969,final,lu,be,1
1969,final,lu,de,1
1969,final,es,yu,1
1969,final,es,lu,2
1969,final,es,mc,3
1969,final,es,ie,1
1969,final,es,be,3
1969,final,es,no,1
1969,final,es,de,3
1969,final,es,fr,2
1969,final,es,pt,2
1969,final,mc,es,2
1969,final,mc,it,4
1969,final,mc,nl,2
1969,final,mc,se,2
1969,final,mc,be,1
1969,final,ie,gb,1
1969,final,ie,nl,1
1969,final,ie,se,1
1969,final,ie,ch,3
1969,final,ie,de,1
1969,final,ie,fi,3
1969,final,it,yu,1
1969,final,it,mc,1
1969,final,it,ie,1
1969,final,it,pt,1
